route_code,quantity,supplier
101,0,EMPIRE COURIER
102,0,EMPIRE COURIER
103,0,EMPIRE COURIER
104,55,EMPIRE COURIER
105,55,EMPIRE COURIER
106,73,EMPIRE COURIER
107,63,EMPIRE COURIER
108,44,EMPIRE COURIER
204,149,EMPIRE COURIER
204 S,2,EMPIRE COURIER
501,16,EMPIRE COURIER
501 A,37,EMPIRE COURIER
501 D,50,EMPIRE COURIER
502,10,EMPIRE COURIER
502 B,35,EMPIRE COURIER
502 C,114,EMPIRE COURIER
504,12,EMPIRE COURIER
505,16,EMPIRE COURIER
506,15,EMPIRE COURIER
507,6,EMPIRE COURIER
508,0,EMPIRE COURIER
