route_code,quantity,supplier
203,18,Click'N Code
203 A,26,Click'N Code
203 B,3,Click'N Code
206,9,Click'N Code
207,4,Click'N Code
207 S,3,Click'N Code
210,38,Click'N Code
405,4,Click'N Code
405 A,0,Click'N Code
405 B,0,Click'N Code
405 C,38,Click'N Code
405 D,0,Click'N Code
603,5,Click'N Code
