route_code,quantity,supplier
211,17,Fast donkey
211 A,39,Fast donkey
306,40,Fast donkey
309,8,Fast donkey
309 A,5,Fast donkey
310,1,Fast donkey
311,6,Fast donkey
312,3,Fast donkey
503,0,Fast donkey
503 A,73,Fast donkey
503 B,32,Fast donkey
607,11,Fast donkey
607 S,1,Fast donkey
608,1,Fast donkey
609,0,Fast donkey
609A,0,Fast donkey
