route_code,quantity,supplier
201,6,Feng
201 A,11,Feng
201 S,1,Feng
202,8,Feng
202 S,1,Feng
301,13,Feng
301 S,1,Feng
302,13,Feng
303,5,Feng
401 A,0,Feng
401 B,0,Feng
401 C,8,Feng
401 S,1,Feng
404,25,Feng
404 B,3,Feng
404 S,2,Feng
604,4,Feng
604 A,4,Feng
604 S,2,Feng
605,3,Feng
605 A,7,Feng
605 S,0,Feng
606,8,Feng
